Item,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Ancho Chili BBQ Sauce ,90,17,0,3,0,1,0,0,1,0,0
"Bacon, Smoked ",35,0,3,3,0,0,0,0,0,0,0
"Beef, Seasoned Ground",190,4,21,11,0,1,0,0,0,0,0
"Beef, Smoked Brisket",270,3,20,20,0,0,0,0,0,0,0
Black Bean Corn Salsa ,110,24,7,1,0,0,0,0,0,0,0
Black Beans,140,24,9,1,0,0,0,0,0,0,0
Brown Rice ,170,35,4,2,0,0,0,0,0,0,0
"Cheese, Cotija ",100,2,6,8,0,1,0,0,0,0,0
"Cheese, Shredded ",170,1,10,13,0,1,0,0,0,0,0
"Chicken, Grilled Marinated ",170,4,22,8,0,1,0,0,0,0,0
Cilantro Chimichurri ,100,2,1,10,0,0,0,0,0,0,0
Chorizo ,200,5,18,12,0,1,0,0,0,0,0
Cilantro ,0,0,0,0,0,0,0,0,0,0,0
Cilantro Lime Rice ,190,38,3,3,0,0,0,0,0,0,0
Cilantro Lime Dressing ,50,2,0,5,0,0,0,0,0,0,0
Corn Tortilla ,40,8,1,0,0,0,0,0,0,0,1
Corn Tortilla Chips ,560,75,7,26,0,0,0,0,0,0,1
Crispy Corn Tortilla Strips ,10,1,0,0,0,0,0,0,0,0,1
Cripsy Corn Taco Shell ,60,8,1,3,0,0,0,0,0,0,1
Crunchy Flour Tortilla Bowl ,390,41,7,22,0,0,0,0,0,0,1
Eggs ,230,2,19,16,1,1,0,0,0,0,0
Fajita Vegetables ,35,4,1,2,0,0,0,0,0,0,0
Fiery Habenero ,20,3,1,0,0,0,0,0,0,0,0
"Flour Tortilla(5.5"")",70,12,2,2,0,0,0,0,0,0,1
"Flour Tortilla(10"")",210,36,6,5,0,0,0,0,0,0,1
"Flour Tortilla(12.5"")",300,52,8,7,0,0,0,0,0,0,1
Guacamole ,130,7,1,10,0,0,0,0,0,0,0
"Lettuce, Shredded ",0,0,0,0,0,0,0,0,0,0,0
Mango Salsa,60,14,1,0,0,0,0,0,0,0,0
Mexian Caesar Dressing ,90,1,1,9,1,1,0,1,0,0,0
Minced Onions ,0,0,0,0,0,0,0,0,0,0,0
Picante Ranch ,40,10,0,0,0,1,0,0,0,0,0
Pickled Jalapenos ,15,3,0,0,0,0,0,0,0,0,0
Pico De Gallo ,10,3,0,0,0,0,0,0,0,0,0
Pinto Beans,130,23,8,1,0,0,0,0,0,0,0
"Pork, Pulled ",140,9,17,4,0,0,0,0,0,0,0
"Potatoes, Seasoned ",130,17,2,6,0,0,0,0,0,0,1
Queso Diablo ,160,7,5,13,0,1,0,0,0,0,0
Roasted Chile Corn Salsa ,50,10,2,1,0,0,0,0,0,0,0
Salsa Roja ,20,4,1,0,0,0,0,0,0,0,0
Salsa Verde,15,3,0,0,0,0,0,0,0,0,0
"Sour Cream, Lite ",50,2,3,5,0,1,0,0,0,0,0
Shrimp Fire Roasted ,35,2,7,0,0,0,0,1,0,0,0
"Steak, Grilled Marinated ",180,2,26,8,0,1,0,0,0,0,0
Three Cheese Queso ,190,6,6,15,0,1,0,0,0,0,0
Whole Wheat Flour Tortilla ,270,47,11,5,0,0,0,0,0,0,1
