name,id,  price   ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Doritos Loco Tacos - Regular,3, $2.19 ,170,13,8,9,0,1,0,0,1,0,1
Doritos Loco Tacos - Supreme,3, $2.74 ,190,15,8,11,0,1,0,0,1,0,1
Crunchy Taco - Regular ,3, $1.69 ,170,13,8,9,0,1,0,0,1,0,1
Crunchy Taco - Supreme,3, $2.15 ,190,15,8,11,0,1,0,0,1,0,1
Soft Taco - Regular(Beef) ,3, $1.60 ,180,18,9,9,0,1,0,0,1,0,1
Soft Taco - Regular(Chicken) ,3, $2.49 ,170,16,10,8,0,1,0,0,0,0,1
Soft Taco - Supreme,3, $2.15 ,210,20,10,10,0,1,0,0,1,0,1
Grilled Steak Soft Taco,3, $2.79 ,200,17,12,10,1,1,0,0,0,0,1
Burrito Supreme - Beef,3, $3.90 ,390,51,16,14,0,1,0,0,1,0,1
Burrito Supreme - Chicken,3, $3.90 ,370,48,19,11,0,1,0,0,0,0,1
Burrito Supreme - Steak,3, $3.90 ,370,49,18,12,0,1,0,0,0,0,1
Beefy 5-Layer Burrito ,3, $2.80 ,490,63,18,18,0,1,0,0,1,0,1
Shredded Chicken Buritto ,3, $2.69 ,420,47,14,20,1,1,0,0,0,0,1
Bean Burrito ,3, $1.70 ,350,54,13,9,0,1,0,0,0,0,1
7-Layer Burrito ,3, $3.69 ,420,58,13,15,0,1,0,0,0,0,1
Crunchwrap Supreme,3, $4.49 ,530,71,16,21,0,1,0,0,1,0,1
Cheesy Gordita Crunch ,3, $3.69 ,500,41,20,28,1,1,0,0,1,0,1
Quesarito - Steak,3, $4.49 ,630,66,24,30,1,1,0,0,0,0,1
Nachos BellGrande,3, $4.69 ,740,82,16,38,0,1,0,0,1,0,1
Nachos Supreme,3, $3.49 ,430,45,11,23,0,1,0,0,1,0,1
Quesadilla - Cheese,3, $3.60 ,450,37,19,25,1,1,0,0,0,0,1
Quesadilla - Chicken,3, $4.60 ,500,38,27,27,1,1,0,0,0,0,1
Fiesta Taco Salad,3, $5.80 ,740,75,25,38,0,1,0,0,1,0,1
